label,tag
omni0709,Alphabet_of_the_Magi/character01
omni0710,Alphabet_of_the_Magi/character02
omni0711,Alphabet_of_the_Magi/character03
omni0712,Alphabet_of_the_Magi/character04
omni0713,Alphabet_of_the_Magi/character05
omni0714,Alphabet_of_the_Magi/character06
omni0715,Alphabet_of_the_Magi/character07
omni0716,Alphabet_of_the_Magi/character08
omni0717,Alphabet_of_the_Magi/character09
omni0718,Alphabet_of_the_Magi/character10
omni0719,Alphabet_of_the_Magi/character11
omni0720,Alphabet_of_the_Magi/character12
omni0721,Alphabet_of_the_Magi/character13
omni0722,Alphabet_of_the_Magi/character14
omni0723,Alphabet_of_the_Magi/character15
omni0724,Alphabet_of_the_Magi/character16
omni0725,Alphabet_of_the_Magi/character17
omni0726,Alphabet_of_the_Magi/character18
omni0727,Alphabet_of_the_Magi/character19
omni0728,Alphabet_of_the_Magi/character20
omni0965,Angelic/character01
omni0966,Angelic/character02
omni0967,Angelic/character03
omni0968,Angelic/character04
omni0969,Angelic/character05
omni0970,Angelic/character06
omni0971,Angelic/character07
omni0972,Angelic/character08
omni0973,Angelic/character09
omni0974,Angelic/character10
omni0975,Angelic/character11
omni0976,Angelic/character12
omni0977,Angelic/character13
omni0978,Angelic/character14
omni0979,Angelic/character15
omni0980,Angelic/character16
omni0981,Angelic/character17
omni0982,Angelic/character18
omni0983,Angelic/character19
omni0984,Angelic/character20
omni0296,Anglo-Saxon_Futhorc/character01
omni0297,Anglo-Saxon_Futhorc/character02
omni0298,Anglo-Saxon_Futhorc/character03
omni0299,Anglo-Saxon_Futhorc/character04
omni0300,Anglo-Saxon_Futhorc/character05
omni0301,Anglo-Saxon_Futhorc/character06
omni0302,Anglo-Saxon_Futhorc/character07
omni0303,Anglo-Saxon_Futhorc/character08
omni0304,Anglo-Saxon_Futhorc/character09
omni0305,Anglo-Saxon_Futhorc/character10
omni0306,Anglo-Saxon_Futhorc/character11
omni0307,Anglo-Saxon_Futhorc/character12
omni0308,Anglo-Saxon_Futhorc/character13
omni0309,Anglo-Saxon_Futhorc/character14
omni0310,Anglo-Saxon_Futhorc/character15
omni0311,Anglo-Saxon_Futhorc/character16
omni0312,Anglo-Saxon_Futhorc/character17
omni0313,Anglo-Saxon_Futhorc/character18
omni0314,Anglo-Saxon_Futhorc/character19
omni0315,Anglo-Saxon_Futhorc/character20
omni0316,Anglo-Saxon_Futhorc/character21
omni0317,Anglo-Saxon_Futhorc/character22
omni0318,Anglo-Saxon_Futhorc/character23
omni0319,Anglo-Saxon_Futhorc/character24
omni0320,Anglo-Saxon_Futhorc/character25
omni0321,Anglo-Saxon_Futhorc/character26
omni0322,Anglo-Saxon_Futhorc/character27
omni0323,Anglo-Saxon_Futhorc/character28
omni0324,Anglo-Saxon_Futhorc/character29
omni0001,Arcadian/character01
omni0002,Arcadian/character02
omni0003,Arcadian/character03
omni0004,Arcadian/character04
omni0005,Arcadian/character05
omni0006,Arcadian/character06
omni0007,Arcadian/character07
omni0008,Arcadian/character08
omni0009,Arcadian/character09
